V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp,
-87.974051,0.017859,0.000072,6.872529,6.872592,144.997873,144.997851,1.571813,1.497355,0.000073,0.007365,0.697142,0.697140,0.697122,0.453871,0.697039,0.000189,0.445146,0.188601,0.001003,0.999552,0.407192,0.000511,0.999552,0.443443,0.000000,1.000000,0.806275,1.000000,0.997921,0.999625,1.000000,1.000000,0.001446,0.000068,0.615456,0.410752,0.000193,0.996767,0.000000,0.000000,0.020436
-87.977471,0.018611,0.000071,6.866344,6.866406,145.013536,145.013513,1.558822,1.475112,0.000072,0.007362,0.697261,0.697258,0.697232,0.454007,0.697077,0.000189,0.433588,0.178194,0.001003,0.999552,0.386540,0.000511,0.999552,0.420707,0.000000,1.000000,0.798681,1.000000,0.997570,0.999546,1.000000,1.000000,0.001390,0.000124,0.633357,0.414031,0.000193,0.996766,0.000000,0.000000,0.018357
-87.976369,0.018874,0.000071,6.872547,6.872609,145.005313,145.005290,1.565112,1.480919,0.000072,0.007363,0.697222,0.697219,0.697194,0.453962,0.697042,0.000189,0.433973,0.178532,0.001003,0.999552,0.387273,0.000511,0.999552,0.421502,0.000000,1.000000,0.799075,1.000000,0.997593,0.999552,1.000000,1.000000,0.001398,0.000121,0.632779,0.413585,0.000193,0.996766,0.000000,0.000000,0.018620
-87.971328,0.017776,0.000072,6.894874,6.894938,144.972111,144.972088,1.579288,1.507061,0.000073,0.007367,0.697047,0.697046,0.697029,0.453761,0.696960,0.000189,0.448405,0.191762,0.001003,0.999552,0.413484,0.000511,0.999552,0.450366,0.000000,1.000000,0.808147,1.000000,0.998010,0.999645,1.000000,1.000000,0.001471,0.000057,0.609987,0.409971,0.000193,0.996767,0.000000,0.000000,0.021030
-87.973424,0.017225,0.000072,6.876698,6.876762,144.996029,144.996007,1.570181,1.500885,0.000073,0.007365,0.697120,0.697118,0.697103,0.453847,0.697044,0.000189,0.450839,0.194143,0.001003,0.999552,0.418318,0.000511,0.999552,0.455660,0.000000,1.000000,0.811382,1.000000,0.998113,0.999668,1.000000,1.000000,0.001462,0.000050,0.605753,0.406587,0.000193,0.996767,0.000000,0.000000,0.019766
-87.977471,0.018850,0.000071,6.860373,6.860435,145.014742,145.014720,1.561734,1.475919,0.000072,0.007362,0.697261,0.697257,0.697230,0.454006,0.697054,0.000189,0.431100,0.176091,0.001003,0.999552,0.382377,0.000511,0.999552,0.416109,0.000000,1.000000,0.796415,1.000000,0.997474,0.999522,1.000000,1.000000,0.001392,0.000140,0.636925,0.416631,0.000193,0.996766,0.000000,0.000000,0.019683
-87.969440,0.017062,0.000073,6.914438,6.914503,144.958082,144.958059,1.590224,1.525709,0.000074,0.007368,0.696982,0.696981,0.696968,0.453686,0.696930,0.000189,0.457953,0.201591,0.001003,0.999552,0.433312,0.000511,0.999552,0.472088,0.000000,1.000000,0.816440,1.000000,0.998315,0.999710,1.000000,1.000000,0.001529,0.000034,0.592621,0.404230,0.000194,0.996768,0.000000,0.000000,0.018370
-87.974265,0.017487,0.000072,6.868279,6.868342,145.003078,145.003056,1.569576,1.497780,0.000073,0.007365,0.697149,0.697147,0.697131,0.453880,0.697060,0.000189,0.447892,0.191230,0.001003,0.999552,0.412455,0.000511,0.999552,0.449224,0.000000,1.000000,0.808779,1.000000,0.998014,0.999646,1.000000,1.000000,0.001452,0.000059,0.610854,0.408852,0.000193,0.996767,0.000000,0.000000,0.020249
-87.969291,0.016460,0.000073,6.907649,6.907715,144.962859,144.962837,1.588575,1.527990,0.000074,0.007368,0.696977,0.696976,0.696965,0.453681,0.696936,0.000189,0.462353,0.206481,0.001003,0.999552,0.443258,0.000511,0.999552,0.482961,0.000000,1.000000,0.821165,1.000000,0.998460,0.999738,1.000000,1.000000,0.001548,0.000026,0.583773,0.400951,0.000194,0.996768,0.000000,0.000000,0.019038
-87.975469,0.017399,0.000072,6.875231,6.875294,145.001868,145.001845,1.559426,1.486077,0.000073,0.007364,0.697191,0.697189,0.697171,0.453929,0.697088,0.000189,0.445128,0.188571,0.001003,0.999552,0.406995,0.000511,0.999552,0.443263,0.000000,1.000000,0.806154,1.000000,0.997909,0.999623,1.000000,1.000000,0.001427,0.000069,0.615548,0.410514,0.000193,0.996766,0.000000,0.000000,0.019081
